,winner_index,loser_index
1638,760,281
1639,760,281
1640,760,281
1641,760,281
1642,760,281
1643,760,281
1644,760,281
1645,760,281
1646,760,281
1647,760,281
1648,281,760
1649,760,281
1650,760,281
1651,281,760
1652,760,281
1653,760,281
1654,302,760
1655,1315,326
1656,326,528
1657,810,635
1658,505,1300
1659,1300,505
1660,540,335
1661,540,1326
1662,540,1326
1663,540,1326
1664,674,1033
1665,1033,674
1666,273,586
1667,586,1014
1668,586,1392
1669,586,422
1670,586,1392
1671,945,586
1672,351,586
1673,586,1249
1674,65,586
1675,1403,586
1676,586,319
1677,586,372
1678,851,968
1679,920,851
1680,699,393
1681,393,699
1682,1023,393
1683,339,393
1684,1305,638
1685,1305,638
1686,1305,638
1687,1305,638
1688,1305,638
1689,1305,638
1690,638,1305
1691,1305,638
1692,1305,638
1693,1305,638
1694,1305,638
1695,1305,638
1696,1146,1225
1697,593,950
1698,15,1237
1699,461,391
1700,461,391
1701,1122,391
1702,1267,1275
1703,838,1385
1704,1186,969
1705,1186,969
1706,969,467
1707,467,969
1708,467,969
1709,969,467
1710,467,969
1711,1394,969
1712,1315,969
1713,618,860
1714,618,559
1715,618,1343
1716,618,1343
1717,618,1343
1718,618,1343
1719,618,1343
1720,618,860
1721,618,860
1722,618,860
1723,618,860
1724,860,618
1725,860,618
1726,860,618
1727,927,153
1728,927,153
1729,927,153
1730,153,927
1731,153,927
1732,927,153
1733,927,153
1734,927,153
1735,927,153
1736,153,927
1737,927,153
1738,927,153
1739,153,927
1740,927,153
1741,927,153
1742,927,153
1743,670,829
1744,829,1317
1745,492,829
1746,200,384
1747,1002,1078
1748,1002,1078
1749,1078,1002
1750,1002,1078
1751,1073,670
1752,885,670
1753,730,670
1754,670,1366
1755,830,670
1756,670,162
1757,228,670
1758,670,607
1759,1394,670
1760,670,1145
1761,670,829
1762,535,670
1763,535,670
1764,1176,1130
1765,831,1176
1766,634,686
1767,675,1205
1768,631,162
1769,631,1236
1770,1309,254
1771,574,7
1772,1361,574
1773,214,982
1774,214,982
1775,982,214
1776,1302,468
1777,1023,1398
1778,1398,1201
1779,91,1073
1780,796,91
1781,885,91
1782,91,545
1783,12,91
1784,12,91
1785,12,91
1786,841,916
1787,841,1057
1788,841,1043
1789,1192,569
1790,846,569
1791,345,569
1792,569,345
1793,980,569
1794,569,750
1795,208,569
1796,530,569
1797,530,569
1798,496,569
1799,569,366
1800,569,1055
1801,529,569
1802,551,569
1803,569,289
1804,621,569
1805,843,569
1806,654,569
1807,569,425
